"season","point_ID","max.dep"
2010,14,170
2010,15,130
2010,16,130
2010,17,50
2010,18,10
2010,19,10
2010,20,50
2010,21,360
2010,22,235
2010,23,265
2010,24,240
2010,25,205
2010,26,70
2010,27,95
2010,28,190
2010,29,90
2010,30,30
2010,31,340
2010,32,320
2010,33,310
2010,34,285
2010,35,250
2010,36,75
2010,37,120
2010,38,200
2010,39,10
2010,40,40
2010,41,270
2010,42,305
2010,43,370
2010,44,265
2010,45,395
2010,46,255
2010,47,70
2010,48,40
2010,49,70
2010,50,20
2010,51,230
2010,52,190
2010,53,310
2010,54,360
2010,55,405
2010,56,340
2010,57,55
2010,58,70
2010,59,30
2010,60,80
2010,61,140
2010,62,270
2010,63,390
2010,64,210
2010,65,450
2010,66,440
2010,67,50
2010,68,80
2010,69,40
2010,70,30
2010,71,210
2010,72,200
2010,73,350
2010,74,370
2010,75,330
2010,76,370
2010,77,110
2010,78,50
2010,79,70
2010,80,70
2010,101,30
2010,201,35
2010,301,50
2010,401,35
2010,501,50
2010,601,30
2010,701,40
2010,801,60
2011,1,320
2011,2,380
2011,3,410
2011,4,350
2011,5,340
2011,6,310
2011,7,130
2011,8,70
2011,9,40
2011,10,10
2011,11,380
2011,12,380
2011,13,460
2011,14,390
2011,15,320
2011,16,250
2011,17,110
2011,18,20
2011,19,10
2011,20,10
2011,21,390
2011,22,400
2011,23,460
2011,24,385
2011,25,340
2011,26,230
2011,27,120
2011,28,170
2011,29,30
2011,30,10
2011,31,370
2011,32,410
2011,33,450
2011,34,425
2011,35,380
2011,36,210
2011,37,150
2011,38,200
2011,39,30
2011,40,10
2011,41,330
2011,42,380
2011,43,400
2011,44,460
2011,45,450
2011,46,400
2011,47,210
2011,48,40
2011,49,70
2011,50,10
2011,51,290
2011,52,330
2011,53,460
2011,54,490
2011,55,560
2011,56,520
2011,57,270
2011,58,90
2011,59,20
2011,60,60
2011,61,250
2011,62,320
2011,63,430
2011,64,370
2011,65,610
2011,66,630
2011,67,220
2011,68,270
2011,69,30
2011,70,20
2011,71,160
2011,72,270
2011,73,360
2011,74,560
2011,75,520
2011,76,600
2011,77,360
2011,78,30
2011,79,110
2011,80,70
2011,101,10
2011,201,10
2011,301,10
2011,401,10
2011,501,20
2011,601,10
2011,701,20
2011,801,40
2012,1,90
2012,2,70
2012,3,70
2012,4,65
2012,5,100
2012,6,75
2012,7,75
2012,8,50
2012,9,30
2012,10,30
2012,11,140
2012,12,50
2012,13,155
2012,14,90
2012,15,80
2012,16,80
2012,17,40
2012,18,20
2012,19,20
2012,20,30
2012,21,95
2012,22,60
2012,23,135
2012,24,140
2012,25,76
2012,26,60
2012,27,60
2012,28,140
2012,29,60
2012,30,50
2012,31,60
2012,32,50
2012,33,100
2012,34,130
2012,35,120
2012,36,100
2012,37,110
2012,38,160
2012,39,100
2012,40,40
2012,41,80
2012,42,70
2012,43,100
2012,44,300
2012,45,160
2012,46,120
2012,47,60
2012,48,20
2012,49,40
2012,50,20
2012,51,80
2012,52,60
2012,53,130
2012,54,140
2012,55,280
2012,56,280
2012,57,40
2012,58,50
2012,59,40
2012,60,50
2012,61,40
2012,62,80
2012,63,210
2012,64,140
2012,65,300
2012,66,310
2012,67,50
2012,68,50
2012,69,50
2012,70,20
2012,71,40
2012,72,50
2012,73,110
2012,74,175
2012,75,150
2012,76,240
2012,77,60
2012,78,50
2012,79,30
2012,80,30
2012,101,30
2012,201,30
2012,301,50
2012,401,40
2012,501,40
2012,601,40
2012,701,30
2012,801,30
2013,1,305
2013,2,230
2013,3,220
2013,4,190
2013,5,180
2013,6,150
2013,7,130
2013,8,35
2013,9,35
2013,10,10
2013,11,290
2013,12,150
2013,13,275
2013,14,200
2013,15,145
2013,16,130
2013,17,160
2013,18,20
2013,19,20
2013,20,10
2013,21,285
2013,22,220
2013,23,270
2013,24,285
2013,25,150
2013,26,100
2013,27,80
2013,28,180
2013,29,100
2013,30,30
2013,31,280
2013,32,270
2013,33,280
2013,34,305
2013,35,290
2013,36,100
2013,37,80
2013,38,200
2013,39,150
2013,40,40
2013,41,230
2013,42,290
2013,43,280
2013,44,370
2013,45,325
2013,46,280
2013,47,120
2013,48,100
2013,49,60
2013,50,30
2013,51,270
2013,52,160
2013,53,255
2013,54,290
2013,55,370
2013,56,275
2013,57,150
2013,58,170
2013,59,50
2013,60,30
2013,61,105
2013,62,230
2013,63,285
2013,64,150
2013,65,390
2013,66,385
2013,67,100
2013,68,180
2013,69,40
2013,70,40
2013,71,90
2013,72,195
2013,73,290
2013,74,320
2013,75,380
2013,76,375
2013,77,130
2013,78,170
2013,79,50
2013,80,50
2013,101,0
2013,201,0
2013,301,30
2013,401,30
2013,501,30
2013,601,30
2013,701,30
2013,801,40
2014,1,300
2014,2,300
2014,3,352
2014,4,255
2014,5,220
2014,6,200
2014,7,80
2014,8,50
2014,9,50
2014,10,20
2014,11,300
2014,12,300
2014,13,330
2014,14,295
2014,15,240
2014,16,180
2014,17,85
2014,18,90
2014,19,40
2014,20,20
2014,21,300
2014,22,300
2014,23,340
2014,24,340
2014,25,290
2014,26,85
2014,27,120
2014,28,160
2014,29,70
2014,30,35
2014,31,365
2014,32,307
2014,33,375
2014,34,345
2014,35,300
2014,36,270
2014,37,150
2014,38,190
2014,39,40
2014,40,30
2014,41,305
2014,42,363
2014,43,395
2014,44,335
2014,45,380
2014,46,300
2014,47,511
2014,48,38
2014,49,55
2014,50,145
2014,51,300
2014,52,220
2014,53,365
2014,54,390
2014,55,462
2014,56,400
2014,57,100
2014,58,50
2014,59,40
2014,60,55
2014,61,300
2014,62,300
2014,63,385
2014,64,340
2014,65,460
2014,66,420
2014,67,60
2014,68,80
2014,69,50
2014,70,40
2014,71,300
2014,72,230
2014,73,300
2014,74,385
2014,75,300
2014,76,330
2014,77,160
2014,78,42
2014,79,70
2014,80,70
2014,101,20
2014,201,10
2014,301,40
2014,401,75
2014,501,50
2014,601,45
2014,701,30
2014,801,55
2015,1,250
2015,2,240
2015,3,200
2015,4,170
2015,5,210
2015,6,200
2015,7,100
2015,8,80
2015,9,75
2015,10,25
2015,11,270
2015,12,220
2015,13,290
2015,14,220
2015,15,180
2015,16,155
2015,17,120
2015,18,55
2015,19,60
2015,20,10
2015,21,250
2015,22,220
2015,23,270
2015,24,290
2015,25,170
2015,26,100
2015,27,110
2015,28,255
2015,29,130
2015,30,40
2015,31,270
2015,32,280
2015,33,235
2015,34,300
2015,35,250
2015,36,240
