year,collection_date,plot,subsample,veg_class,NPP,veg_moist 
2008,NaN,2,A,MM,174,1
2008,NaN,2,B,MM,189,1
2008,NaN,3,A,MM,509,1
2008,NaN,3,B,MM,465,1
2008,NaN,4,A,MM,296,1
2008,NaN,4,B,MM,157,1
2008,NaN,8,A,MM,148,1
2008,NaN,8,B,MM,172,1
2008,NaN,17,A,MM,241,1
2008,NaN,17,B,MM,201,1
2008,NaN,22,A,MM,256,1
2008,NaN,22,B,MM,196,1
2008,NaN,25,A,MM,304,1
2008,NaN,25,B,MM,200,1
2008,NaN,26,A,MM,211,1
2008,NaN,26,B,MM,393,1
2008,NaN,27,A,MM,259,1
2008,NaN,27,B,MM,160,1
2008,NaN,36,A,MM,143,1
2008,NaN,36,B,MM,127,1
2008,NaN,43,A,MM,109,1
2008,NaN,43,B,MM,62,1
2008,NaN,44,A,MM,185,1
2008,NaN,44,B,MM,114,1
2008,NaN,46,A,MM,267,1
2008,NaN,46,B,MM,152,1
2008,NaN,49,A,MM,111,1
2008,NaN,49,B,MM,120,1
2008,NaN,52,A,MM,466,1
2008,NaN,52,B,MM,294,1
2008,NaN,53,A,MM,176,1
2008,NaN,53,B,MM,232,1
2008,NaN,60,A,MM,215,1
2008,NaN,60,B,MM,152,1
2008,NaN,61,A,MM,234,1
2008,NaN,61,B,MM,373,1
2008,NaN,64,A,MM,196,1
2008,NaN,64,B,MM,133,1
2008,NaN,67,A,MM,388,1
2008,NaN,67,B,MM,346,1
2008,NaN,72,A,MM,213,1
2008,NaN,72,B,MM,271,1
2008,NaN,73,A,MM,253,1
2008,NaN,73,B,MM,341,1
2008,NaN,74,A,MM,75,1
2008,NaN,74,B,MM,114,1
2008,NaN,75,A,MM,97,1
2008,NaN,75,B,MM,49,1
2008,NaN,79,A,MM,113,1
2008,NaN,79,B,MM,108,1
2008,NaN,80,A,MM,85,1
2008,NaN,80,B,MM,234,1
2010,8/5/2010,60,A,MM,93,1
2010,8/5/2010,60,B,MM,65,1
2010,8/5/2010,80,A,MM,56,1
2010,8/5/2010,80,B,MM,60,1
2010,8/12/2010,2,A,MM,262,1
2010,8/12/2010,2,B,MM,120,1
2010,8/12/2010,3,A,MM,384,1
2010,8/12/2010,3,B,MM,437,1
2010,8/12/2010,4,A,MM,97,1
2010,8/12/2010,4,B,MM,101,1
2010,8/12/2010,17,A,MM,119,1
2010,8/12/2010,17,B,MM,116,1
2010,NaN,8,A,MM,103,1
